Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
OGLE-2018-BLG-1011L b,,,,1.2,1.8,,,3.491,,,,7100.0,,,False,nexsci
GJ 15 A c,,,,0.59,0.11327,55.0,46.0,2.899,7600.0,,4.0,3.56,3607.0,4.87,False,nexsci
HD 233832 b,,,,1.2,1.78,140.0,118.0,3.486,2058.0,,8.0,58.74,4981.0,4.49,False,nexsci
OGLE-2015-BLG-1649L b,,,,1.18,2.54,,,3.655,,,,4230.0,,,False,nexsci
OGLE-2016-BLG-1227L b,,,,1.24,0.79,,,3.105,,,,,,,False,nexsci
OGLE-2018-BLG-1700L b,,,,1.15,4.4,,,3.916,,,,7600.0,,,False,nexsci
Kepler-160 d,,,,,0.31463,805.0,677.0,,30.0,,13.1,937.01,5471.0,4.47,False,nexsci
Kepler-1697 b,0.0,0.0,0.005,0.11,0.00668,526.0,442.0,3.121,33.4969,4.111,11.2,247.77,4682.0,4.54,True,nexsci
KMT-2018-BLG-1996L b,,,,1.23,1.09,,,3.252,,,,5910.0,,,False,nexsci
OGLE-2018-BLG-1428L b,,,,1.25,0.77,,,3.087,,,,6220.0,,,False,nexsci
OGLE-2017-BLG-1099L b,,,,1.17,3.02,,,3.738,,,,7250.0,,,False,nexsci
2MASS J12073346-3932539 b,,,,1.15,5.0,10.0,9.0,3.972,,,11.9,64.31,2825.0,5.03,False,nexsci
42 Dra b,,,,1.16,3.88,1036.0,871.0,3.854,479.1,,2.1,90.65,4200.0,1.71,False,nexsci
4 UMa b,,,,1.13,7.1,1155.0,971.0,4.139,269.3,,1.7,73.46,4415.0,1.8,False,nexsci
alf Ari b,,,,1.2,1.8,889.0,747.0,3.491,380.8,,-0.8,20.21,4553.0,2.49,False,nexsci
CoRoT-10 b,0.0,0.013,0.007,0.97,2.75,796.0,670.0,3.86,13.2406,2.98,11.8,338.39,5075.0,4.65,True,nexsci
CoRoT-14 b,0.057,0.024,0.001,1.09,7.6,2317.0,1948.0,4.2,1.5121,1.662,13.8,1744.6,6035.0,4.35,True,nexsci
CoRoT-18 b,0.082,0.062,0.01,1.31,3.47,1816.0,1527.0,3.7,1.9001,2.387,13.0,764.89,5440.0,4.4,True,nexsci
CoRoT-20 b,0.001,0.009,0.002,0.84,4.3,1135.0,955.0,4.179,9.2429,2.2248,12.5,844.06,5880.0,4.35,True,nexsci
CoRoT-24 b,0.0,0.002,0.029,0.33,0.018,1112.0,935.0,2.612,5.1134,2.85,12.9,591.55,4950.0,4.55,True,nexsci
CoRoT-27 b,0.019,0.024,0.001,1.01,10.39,1612.0,1355.0,4.405,3.5753,2.77,13.0,1010.28,5900.0,4.4,True,nexsci
CoRoT-2 b,0.417,0.314,0.058,1.47,3.47,1840.0,1547.0,3.602,1.743,2.267,10.3,213.28,5625.0,4.53,True,nexsci
CoRoT-5 b,,,,1.39,0.467,1716.0,1443.0,2.779,4.0379,,12.5,882.47,6100.0,4.19,True,nexsci
CoRoT-9 b,0.0,0.002,0.023,1.07,0.84,498.0,419.0,3.263,95.2727,8.268,11.7,412.98,5625.0,4.54,True,nexsci
DH Tau b,,,,2.7,11.0,7.0,6.0,3.573,,,8.2,134.85,4371.0,4.0,False,nexsci
gam 1 Leo b,,,,1.12,8.78,1285.0,1081.0,4.239,428.5,,-0.8,39.89,4330.0,1.66,False,nexsci
GJ 163 c,,,,0.22,0.0214,363.0,305.0,3.028,25.6306,,7.1,15.13,3500.0,4.82,False,nexsci
GJ 3021 b,,,,1.17,3.37,431.0,362.0,3.785,133.71,,4.9,17.56,5540.0,4.7,False,nexsci
GJ 3138 d,,,,0.29,0.03304,180.0,152.0,2.994,257.8,,7.2,28.47,3717.0,4.63,False,nexsci
GJ 3293 b,,,,0.46,0.07406,332.0,279.0,2.933,30.5987,,7.5,20.19,3466.0,4.78,False,nexsci
GJ 3323 b,,,,0.11,0.00636,346.0,291.0,3.123,5.3636,,6.7,5.37,3159.0,,False,nexsci
GJ 581 b,,,,0.37,0.0497,555.0,467.0,2.964,5.3686,,5.8,6.3,3396.0,4.89,False,nexsci
GJ 667 C g,,,,0.18,0.014,,,3.044,256.2,,6.0,7.24,3350.0,4.69,False,nexsci
